"HolderAddress","TotalQuantity"
"0x4a613cb5bb61ff777cd8c38bde64e54a999ccb99","1392"
"0x42db18d76f0cde2a2c6115017f177fffae4d5409","1292"
"0xe9c74b7e297bc9ba6e9348b2d36576d24d4af630","690"
"0x62bcd783d74c341d7b487672078e95cfd5ac10d4","560"
"0x239f086b7f4fe92083e547e03043637b2e428b5c","534"
"0x616245fd6f63c9ecd7e4ad09a3d8e9633d4fedbe","513"
"0x05113720a7abc229124b8682dfdb2521e49608c4","475"
"0x9b9001a6c65a27e995418e8dbac2cc0b3f8f9d37","457"
"0x7bfee91193d9df2ac0bfe90191d40f23c773c060","404"
"0x09bb5ee4c5f5d1d5d958271361a075548e293809","400"
"0x000000000000000000000000000000000000dead","375"
"0x7b004b458892a5e021e657650fd93c36e10a8d56","354"
"0x0d869045a18ac7969ab895e1e47238ec12b28425","342"
"0x561ef9fdf5341ef3815e69e1010067b7ef179dad","325"
"0xd87ea0ec6b809f4e5ef4b291cffd84a9a2ff2ded","302"
"0xdec9db6de705eb2e2d04f1ccf4834b6abbcf12bb","282"
"0x4c6b778e5a5395c86e6f09e1e7b72c9db3958175","264"
"0x2ecba528480019fcecdc00119dd7c0347ee52abf","260"
"0xae89bcb2c1bcedebc6238a3a1ebb5739400dec1c","246"
"0xc1fa63bd4189a9c49a30010b6a3ab11194a95842","240"
"0x69295e9634627efb65c214f91241d482b9860a54","233"
"0xc6e5c042b34a0b88df9d4fa00849ba8ecfad1894","225"
"0x77b98a4910900305a5a24cd386407fd58a2c4502","223"
"0x62ec70da57a9989a0f32af6e85dc491c4ab6b760","218"
"0xe05eefc643aa82aca64b72d380ce74a3dbc1ec13","204"
"0xf1713dc9c198c7f71a9742f9848a1cdf4b8cc305","200"
"0xf2de9006f3e6afb3a07fcf7a231f46e91297b887","176"
"0x25499543f0d495b4a1dc2bc82ec5acccc39d31d4","165"
"0xae8b5e58e423750a68bbb37ccaad399def93d24d","162"
"0x46c35788b0a61b61b836279e06520b27923e7e63","157"
"0xe2a26d5174b133abc4b338df1b07295f03a4c85e","156"
"0xe5a8929c08dc8382d9e9f7d3c2f5e122e3e42315","153"
"0x995d027369ab0233c47a6dcdb1920ae540eb42cd","150"
"0x7b98c9f467739d19ca3f7813e85828b095a052fc","140"
"0x20134bf3fb2c960bbf6195ab43d87efb7dc042be","133"
"0x4ef02b934c0a59c72da0d163da00b77a45cac622","133"
"0x04450aa1b3d9e2d5b157aba38e7658b80bae7f7b","130"
"0x90f15e09b8fb5bc080b968170c638920db3a3446","116"
"0x0c8c1fa0ccaa418955c3a98de004d6d9a88e8983","115"
"0xf3b50ac3c9517382182036449134c02d925f01ec","105"
"0x1efcfd3ab4cfda76f76b38466e7327f17fe33de0","103"
"0x72633df50dc6501973a5640625e54065a306980a","102"
"0x10630c8130e44ed22d30d0a05488a10b44797a93","100"
"0x90d339bf4610c995a3db2eedae9decd52d59b678","100"
"0x427a1f2e8daba2f850b7f380bc4aae19fffe9286","100"
"0x70a4d458f575eef57ff6d86bb4a71186d0d5b4b2","99"
"0x3c247fd32385c3a6d7cf985cdae42d3f76fb036e","98"
"0x2a2de42b4567a6f47b6b8a6803a58cd676da1a0c","98"
"0x072914ed9a271607611748ff6a9ef54bef18197c","93"
"0x67c77c910084237a12c3378a68d164ec5917d6d1","91"
"0x15593b2232b5c9892a811bc4323383ef4cadd274","90"
"0x2d438b5f9dbb11fb406a92fd97476f4cdc9947d1","84"
"0x18a428ce0c31584a21cf8cefdb8849d8013e1994","83"
"0x1e109d267da61261cb160cb6387fccc0463d6176","83"
"0x65901175335e057f1f5550834a3b9234175bce18","80"
"0xe5d97b9c046e87e62f9a3654a57ae82167a5ff3a","79"
"0x0302f3434dbdee9d3faf680cba8a2bae6b34a83c","76"
"0x8f5c7cef4d9c6dae6fa645ca41b3a8c6ca2bafb8","76"
"0x5f5597a520d09570f74bd41e326349b92e88109e","74"
"0x0000000000000000000000000000000000000000","74"
"0x49445612ede0b56c0acf0cfc7c866f5d33ab2d75","74"
"0xadb7ec53f76a1d2b1c623582947e676ba3716656","73"
"0x67dd7378a9e0ac5015de11e10b1e4ed5ea2b5b49","67"
"0x44e8f6a55201d71539734c93976110bd0f7107c0","67"
"0x651939523729ff115ac7632f27a11f29729849e1","66"
"0xc9d15f4e6f1b37cbf0e8068ff84b5282edef9707","63"
"0xebac659e01ae595108d862920f77847a99c43270","63"
"0x2412946dc3b75500e908ddf40f4ae768a4701f3a","61"
"0xbd3df1969b930ac3521552af2947cef0c1638107","60"
